編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
1029,新市區大４０８之３５號,,112/12/18,244,,52.53,,透天厝,29,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳3衛,,無,無,二等親買賣親友、員工、共有人或其他特殊關係間之交易;,,
1030,新市區大洲７之１５號三樓之３,南科芳鄰,112/12/17,686,30.6,22.38,70.15%,華廈(10層含以下有電梯),1,三層/六層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳2衛,,有,有,,,
1031,新市區豐榮１２１號,,112/12/12,250,,25.34,,透天厝,,全/二層,住家用,房地(土地+建物),土:4 建物:1 車位:0,5房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1032,新市區永福街１６巷７０弄６號,,112/12/05,700,,53.37,,透天厝,12,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳5衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1033,新市區大洲７之１３號五樓之２,南科芳鄰,112/12/11,680,31.3,21.73,68.67%,華廈(10層含以下有電梯),1,五層/六層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳2衛,,有,有,,,
1034,新市區大洲７之１３號六樓之５,南科芳鄰,112/12/26,670,30.9,21.67,68.82%,華廈(10層含以下有電梯),1,六層/六層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳2衛,,有,有,,,
1035,新市區大社２８４之３號,,112/12/16,"1,100",,51.26,,透天厝,30,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,,,
1036,新市區大５８之１０號,,112/12/30,"1,495",,45.08,,透天厝,,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,6房2廳3衛,,無,無,,,
1037,新市區大５８之９號,,112/12/31,"1,508",,45.84,,透天厝,,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1038,新市區大５８之５號,,112/12/30,"1,528",,48.24,,透天厝,,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1039,新市區大５８之８號,,112/12/20,"1,468",,45.84,,透天厝,,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1040,新市區大４１０號三樓之２,鄉景樂活,112/12/24,860,26.3,32.74,70.34%,華廈(10層含以下有電梯),4,三層/六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1041,新市區大８２之１號,,112/12/26,"2,100",,69.71,,透天厝,,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房1廳5衛,,無,有,"建物第一次登記後移轉,陽台外推;",,
1042,新市區陽光大道７０號五樓之１,宇田藏金會館,112/12/31,870,31.9,27.25,52.36%,住宅大樓(11層含以上有電梯),5,五層/十五層,其他,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2衛,,有,有,,,
1043,新市區大８２號,,112/12/26,"2,580",,84.05,,透天厝,,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房1廳5衛,,無,有,"建物第一次登記後移轉,陽台外推;",,
1044,新市區社內１３２之１號七樓之３,德和大邁23,112/12/28,"1,280",33.4,38.17,65.48%,華廈(10層含以下有電梯),1,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,170,有,有,,,
1045,新市區社內１３２號二樓之３,德和大邁23,112/12/16,"1,030",31.4,31.36,63.48%,華廈(10層含以下有電梯),1,二層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1046,新市區內１５７號三樓之５,,112/12/01,778,31.6,24.64,70.11%,華廈(10層含以下有電梯),1,三層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1047,新市區永福街９０巷２號,,112/12/05,"1,420",,48.37,,透天厝,44,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,,,
1048,新市區大５８之１１號,,112/12/22,"1,488",,45.89,,透天厝,,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1049,新市區崙頂８３之１２號七樓之１,,112/11/18,398,17.5,22.81,69.03%,華廈(10層含以下有電梯),,七層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,,,
1050,新市區潭頂１６６之９號,,112/11/29,227.99,,31.02,,透天厝,,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1051,新市區華興街１２１號,,112/11/13,"1,856",,17.99,,透天厝,12,全/一層,商業用,房地(土地+建物),土:1 建物:1 車位:0,1房1廳1衛,,無,無,,,
1052,新市區富中街２６９號五樓之５,騰揮會館2大樓,112/11/09,292,19.4,15.07,97.94%,住宅大樓(11層含以上有電梯),7,五層/十二層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房4廳4衛,,有,有,親友、員工、共有人或其他特殊關係間之交易;,,
1053,新市區社內１３２之１號四樓之３,德和大邁23,112/11/08,"1,230",32.2,38.17,65.48%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1054,新市區潭頂１３８之１８號,,112/11/07,"1,200",,42.62,,透天厝,5,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1055,新市區南港街１３３號,,112/11/14,"1,538",,74.20,,透天厝,29,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,6房2廳4衛,,無,無,,,
1056,新市區豐榮１８９之８５號,,112/11/09,"1,163",,48.93,,透天厝,4,全/一層,工業用,房地(土地+建物),土:4 建物:1 車位:0,1房1廳2衛,,無,無,,,
1057,新市區豐榮１８９之８６號,,112/11/09,"1,163",,48.93,,透天厝,4,全/一層,工業用,房地(土地+建物),土:4 建物:1 車位:0,1房1廳2衛,,無,無,,,
1058,新市區忠孝街２２７巷２號五樓之３　,,112/11/14,500,14.1,35.45,68.76%,華廈(10層含以下有電梯),31,五層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
1059,新市區內１５７號二樓之１,,112/11/10,818,33.2,24.64,70.11%,華廈(10層含以下有電梯),1,二層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1060,新市區富林路５８９號二樓之７,邰欣地堡NO65,112/11/18,840,31,27.07,58.55%,住宅大樓(11層含以上有電梯),,二層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳2衛,,有,有,,,
1061,新市區內１５７號四樓之１,,112/11/22,855,34.7,24.64,70.11%,華廈(10層含以下有電梯),1,四層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1062,新市區內１５６號五樓之３,,112/11/23,"1,108",33.5,32.38,70.03%,華廈(10層含以下有電梯),1,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,115,有,有,,,
1063,新市區內１５６號二樓之２,,112/11/13,"1,318",35.1,36.91,70.25%,華廈(10層含以下有電梯),1,二層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,180,有,有,,,
1064,新市區內１５７號二樓之２,,112/11/17,818,33.2,24.64,70.11%,華廈(10層含以下有電梯),1,二層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1065,新市區大社８８６之７０號,,112/11/19,900,,54.15,,透天厝,13,全/四層,住家用,房地(土地+建物),土:9 建物:1 車位:0,5房1廳3衛,,無,無,受債權債務關係影響或債務抵償;,,
1066,新市區光華街１５２巷１７弄４號,,112/11/20,700,,30.86,,透天厝,,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
1067,新市區富林路５９１號九樓之１,邰欣地堡NO65,112/11/25,"1,020",25,40.78,60.77%,住宅大樓(11層含以上有電梯),,九層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,無,有,,,
1068,新市區潭頂３１７之１號三樓之１１,心程市/真祥家NO9,112/11/08,690,28.1,24.56,59.46%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1069,新市區社內１３２號四樓之３,德和大邁23,112/11/18,"1,030",31.4,32.61,63.48%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1070,新市區豐華４７之７５號,,112/11/25,800,,46.53,,透天厝,33,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳2衛,,無,無,其他增建;,,
1071,新市區社內１３２號三樓之３,德和大邁23,112/11/28,"1,030",31.4,31.36,63.48%,華廈(10層含以下有電梯),1,三層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1072,新市區社內１３２號五樓之３,德和大邁23,112/11/10,"1,038",31.7,31.36,63.48%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1073,新市區大順六路２０５巷９弄２２號,,112/11/26,"1,090",,52.40,,透天厝,31,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
1074,新市區富中街６３０號五樓之１,邰欣地堡29期,112/11/26,988,32.4,30.47,69.69%,華廈(10層含以下有電梯),8,五層/五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,2房2廳2衛,,有,有,其他增建;,,
1075,新市區永華三街３號七樓,永新E區,112/11/19,730,17.7,41.35,58.21%,華廈(10層含以下有電梯),26,七層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1076,新市區大社４０８之９０號,,112/11/05,980,,64.67,,透天厝,28,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房3廳3衛,,無,無,頂樓加蓋;其他增建;,,
1077,新市區永就里永華二街５號貳樓,永新社區,112/11/09,980,20.9,46.89,61.58%,華廈(10層含以下有電梯),26,二層/八層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,,,
1078,新市區富林路５９１號十二樓之２,邰欣地堡NO65,112/11/05,"1,428",35,40.78,60.77%,住宅大樓(11層含以上有電梯),,十二層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,,,
1079,新市區昆明街１４號,,112/11/12,876,,27.66,,透天厝,42,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;未登記建物;,,
1080,新市區陽光大道７０號十四樓之１,宇田藏金會館,112/11/12,880,32.7,26.87,53.27%,住宅大樓(11層含以上有電梯),5,十四層/十五層,其他,房地(土地+建物)+車位,土:1 建物:1 車位:1,1房1廳1衛,,有,有,陽台外推;,,
1081,新市區復興路６２巷９號四樓之１９,摩登都會,112/11/02,560,17.4,32.10,56.13%,華廈(10層含以下有電梯),28,四層/八層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1082,新市區永就１３９之５號,,112/11/16,880,,47.24,,透天厝,32,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,8房8衛,,無,無,,,
1083,新市區潭頂１６６之１６號,,112/11/17,360,,31.02,,透天厝,,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房3廳2衛,,無,無,,,
1084,新市區崙頂８３之１２號六樓之５,,112/10/26,434,16.9,25.75,69.08%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,,,
1085,新市區富林路１０６號四樓之５,邰欣地堡NO33,112/10/15,830,31.5,26.35,61.24%,住宅大樓(11層含以上有電梯),5,四層/十三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1086,新市區崙頂８３之１２號四樓之３,,112/10/18,422,13,32.51,63.33%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,,,
1087,新市區崙頂８３之１２號四樓之１,,112/10/11,435,16.9,25.70,69.02%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,,,
1088,新市區潭頂３１７之３號七樓之１０,心程市/真祥家NO9,112/10/03,665,27.5,24.19,68.37%,華廈(10層含以下有電梯),,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,車位:一樓平面/機械上層,,
1089,新市區潭頂３１７之１號二樓之１,心程市/真祥家NO9,112/10/29,880,29,31.39,71.38%,華廈(10層含以下有電梯),,二層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,70,有,有,,,
1090,新市區潭頂３１７之３號六樓之９,心程市/真祥家NO9,112/10/24,755,26.3,28.53,70.07%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,95,有,有,,,
1091,新市區潭頂３１７之３號五樓之２,心程市/真祥家NO9,112/10/17,866,26.8,32.14,70.07%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,95,有,有,,,
1092,新市區潭頂３１７之１號六樓之９,心程市/真祥家NO9,112/10/28,865,27.4,32.09,70.99%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,80,有,有,,,
1093,新市區潭頂３１７之１號七樓之１３,心程市/真祥家NO9,112/10/27,715,27.7,26.38,70.04%,華廈(10層含以下有電梯),,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,80,有,有,,,
1094,新市區大社６５１號,,112/10/19,750,,34.04,,透天厝,40,全/二層,住家用,房地(土地+建物),土:3 建物:1 車位:0,5房2廳2衛,,無,無,其他增建;,,
1095,新市區社內１３２之１號三樓之２,德和大邁23,112/10/07,"1,040",31.8,31.36,63.48%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1096,新市區社內１３２號四樓之２,德和大邁23,112/10/07,"1,260",32.8,38.17,65.48%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,170,有,有,,,
1097,新市區社內１３２之１號六樓之３,德和大邁23,112/10/24,"1,260",33.1,36.92,65.48%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,160,有,有,,,
1098,新市區潭頂３１７之３號六樓之１０,心程市/真祥家NO9,112/10/05,660,27.3,24.19,68.36%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1099,新市區永華三街９號六樓,永新E區,112/10/28,718,17.6,40.87,59.10%,華廈(10層含以下有電梯),26,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1100,新市區潭頂３１７之３號四樓之１０,心程市/真祥家NO9,112/10/05,625,25.8,24.19,68.36%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1101,新市區三舍１０５之３號六樓之３,,112/10/01,965,31.2,30.97,69.52%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
1102,新市區綠園二街１０號十樓之５,明大NEW,112/10/25,"1,650",30.9,53.32,61.67%,住宅大樓(11層含以上有電梯),7,十層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1103,新市區永就１０９號,,112/10/03,"1,200",,61.60,,透天厝,30,全/四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:2,6房2廳3衛,,無,無,,,
1104,新市區內１５７號四樓之５,,112/10/04,893,31.6,27.36,70.10%,華廈(10層含以下有電梯),1,四層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,115,有,有,,,
1105,新市區內１５７號三樓之１,,112/10/18,818,33.2,24.64,70.11%,華廈(10層含以下有電梯),1,三層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1106,新市區內１５７號五樓之５,,112/10/23,808,32.8,24.64,70.11%,華廈(10層含以下有電梯),1,五層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1107,新市區大營７８之１３號,,112/10/13,880,,52.29,,透天厝,28,全/四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房2廳3衛,,無,無,頂樓加蓋;其他增建;,,
1108,新市區復興路１０７號八樓之７,陞發A平方,112/10/23,"1,225",38.3,31.95,62.05%,住宅大樓(11層含以上有電梯),3,八層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,,,
1109,新市區忠孝街３８巷８弄１１號,,112/10/13,"1,540",,52.11,,透天厝,8,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
1110,新市區崙頂８３之１２號五樓之１,,112/10/28,450,17.5,25.70,69.02%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1111,新市區崙頂８３之１２號六樓之１,,112/10/26,395,15.3,25.89,69.03%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,,,
1112,新市區崙頂８３之１２號五樓之２,,112/10/18,465,14.4,32.30,66.20%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,,,
1113,新市區崙頂８３之１２號四樓之５,,112/10/18,330,14.4,22.85,69.09%,華廈(10層含以下有電梯),,四層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,,,
1114,新市區崙頂８３之１２號三樓之１,,112/10/26,410,18,22.81,69.03%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,,,
1115,新市區中正路２２號,,112/09/01,"9,650",,451.50,,透天厝,38,全/二層,工業用,房地(土地+建物),土:3 建物:3 車位:0,9房3廳4衛,,無,有,含土地增值稅或其他稅費;未登記建物;未登記建物;受債權債務關係影響或債務抵償;,,
1116,新市區大社５３０號之１３,,112/09/15,300,,25.16,,透天厝,42,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房3廳2衛,,無,無,,,
1117,新市區崙頂８３之１２號二樓之５,,112/09/29,400,17.5,22.85,69.09%,華廈(10層含以下有電梯),,二層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1118,新市區崙頂８３之１２號二樓之１,,112/09/23,408,17.9,22.81,69.03%,華廈(10層含以下有電梯),,二層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1119,新市區崙頂８３之１２號二樓之２,,112/09/16,548,16.7,32.79,65.12%,華廈(10層含以下有電梯),,二層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,建物第一次登記後移轉,,
1120,新市區崙頂８３之１２號三樓之５,,112/09/14,371,16.2,22.85,69.09%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1121,新市區崙頂８３之１２號五樓之５,,112/09/23,350,15.3,22.85,69.09%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1122,新市區崙頂８３之１２號二樓之３,,112/09/21,543,16.7,32.51,63.33%,華廈(10層含以下有電梯),,二層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,建物第一次登記後移轉,,
1123,新市區崙頂８３之１２號三樓之３,,112/09/14,505,15.6,32.32,63.33%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,建物第一次登記後移轉,,
1124,新市區崙頂８３之１２號七樓之５,,112/09/14,460,17.7,25.94,69.09%,華廈(10層含以下有電梯),,七層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,建物第一次登記後移轉,,
1125,新市區崙頂８３之１２號六樓之３,,112/09/29,483,16.4,29.42,63.33%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物),土:3 建物:1 車位:0,3房2廳2衛,,有,有,建物第一次登記後移轉,,
1126,新市區大社７８之８３號,,112/09/17,"1,070",,42.75,,透天厝,18,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,,,
1127,新市區陽光南一路２巷８２號,中央公園二期,112/09/24,"2,330",,79.07,,透天厝,6,全/四層,商業用,房地(土地+建物),土:8 建物:1 車位:0,5房2廳7衛,,無,無,頂樓加蓋;,,
1128,新市區豐榮１８９之９８號,,112/09/23,"1,920",,48.78,,透天厝,4,全/一層,工業用,房地(土地+建物),土:4 建物:1 車位:0,1房2衛,,無,無,其他增建;,,
1129,新市區大洲５８號二樓之１,真祥家NO7,112/09/28,940,30.9,31.53,71.98%,華廈(10層含以下有電梯),1,二層/六層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,72,有,有,,,
1130,新市區崙頂８３之１２號六樓之２,,112/09/23,505,15.4,32.84,65.01%,華廈(10層含以下有電梯),,六層/七層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳2衛,,有,有,建物第一次登記後移轉,,
1131,新市區內１５７號五樓之３,,112/09/21,943,33.6,27.36,70.10%,華廈(10層含以下有電梯),1,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,115,有,有,,,
1132,新市區內１５７號五樓之１,,112/09/22,933,33.2,27.36,70.10%,華廈(10層含以下有電梯),1,五層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,115,有,有,,,
1133,新市區內１５６號七樓之１,,112/09/29,"1,298",32.9,38.49,63.73%,華廈(10層含以下有電梯),1,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,180,有,有,,,
1134,新市區大洲７之１３號六樓之３,南科芳鄰,112/09/27,822,30.9,25.92,68.67%,華廈(10層含以下有電梯),1,六層/六層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,2房2廳2衛,150,有,有,,,
1135,新市區大洲７之１５號六樓之２,南科芳鄰,112/09/11,692,30.9,22.38,70.15%,華廈(10層含以下有電梯),1,六層/六層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳2衛,,有,有,,,
1136,新市區社內１３２號七樓之３,德和大邁23,112/09/01,"1,063",32.6,32.61,63.48%,華廈(10層含以下有電梯),,七層/七層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,160,有,有,,,
1137,新市區社內１３２號三樓之１,德和大邁23,112/09/03,810,32.7,24.74,66.79%,華廈(10層含以下有電梯),,三層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1138,新市區社內１３２號五樓之１,德和大邁23,112/09/29,810,32.7,24.74,66.79%,華廈(10層含以下有電梯),,五層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳2衛,,有,有,,,
1139,關廟區新埔二街７２巷１８號,,113/05/03,"1,266",,47.19,,透天厝,1,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,,,
1140,關廟區五甲路２３０號,,113/05/10,400,,28.61,,透天厝,44,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,3房1廳2衛,,無,無,,,
1141,關廟區大仁街３２１號二樓之２,,113/05/02,878,23.4,36.97,68.10%,華廈(10層含以下有電梯),,二層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,110,有,有,,,
1142,關廟區巡府路６８號,,113/05/06,"2,000",,97.50,,透天厝,2,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳5衛,,無,無,,,
1143,關廟區文衡路７號,,113/05/06,"1,000",,69.64,,透天厝,48,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
1144,關廟區中山路二段１６５巷５６號,,113/05/04,"1,620",,58.06,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
1145,關廟區大仁街２３號四樓之７,佳協有有,113/05/15,810,23.4,34.65,69.46%,華廈(10層含以下有電梯),3,四層/五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
1146,關廟區東勢里光復街１６１號,,113/04/22,860,,50.81,,透天厝,28,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房2廳3衛,,無,無,其他增建;,,
1147,關廟區中山路二段１６５巷４８號,,113/04/26,"1,615",,56.78,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
1148,關廟區中山路二段１６５巷４６號,,113/04/20,"1,598",,55.99,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
1149,關廟區中山路二段１６５巷５０號,,113/04/20,"1,615",,56.78,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
1150,關廟區東德街１２０號,,113/04/24,74.85,,26.55,,透天厝,35,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,無訂立私契以公契作為買賣契約親友、員工、共有人或其他特殊關係間之交易;,,
1151,關廟區香洋里中央路８２巷１５號,,113/04/23,674,,32.01,,透天厝,41,全/二層,住商用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳1衛,,無,無,,,
1152,關廟區中山路二段１６５巷５２號,,113/04/19,"1,608",,55.60,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
1153,關廟區中山路二段１６５巷４０號,,113/04/21,"1,620",,57.27,,透天厝,,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳3衛,,無,無,建物第一次登記後移轉,,
